text,difficulty,user_answer,correct_answer
What is the IUPAC name for this compound?,0.50,"(Z)-3,5-dimethyl-2-hexene","(Z)-3,5-dimethyl-2-hexene"
What is the IUPAC name for this compound?,0.40,cis-2-bromocyclohexanol,cis-2-bromocyclohexanol
What is the IUPAC name for this compound?,0.40,,cis-2-bromocyclohexanol
What is the major product of this reaction?,0.60,"",2-chlorobutane
What is the IUPAC name for this compound?,0.50,"","(Z)-3,5-dimethyl-2-hexene"
What is the IUPAC name for this compound?,0.40,"",cis-2-bromocyclohexanol
What is the correct Lewis dot structure for carbon dioxide (CO₂)?,0.50,A,A
What is the correct Lewis dot structure for carbon dioxide (CO₂)?,0.50,A,A
What is the major product of this reaction?,0.60,,2-chlorobutane
What is the IUPAC name for this compound?,0.50,"(E)-3,5-dimethyl-2-hexene","(Z)-3,5-dimethyl-2-hexene"
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,3-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,1-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,1-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,1-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
Which compound is classified as an aromatic hydrocarbon?,0.45,Propane,Benzene
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
Which compound is classified as an aromatic hydrocarbon?,0.45,Benzene,Benzene
Which compound is classified as an aromatic hydrocarbon?,0.45,Benzene,Benzene
Which compound is classified as an aromatic hydrocarbon?,0.45,Benzene,Benzene
Which compound is classified as an aromatic hydrocarbon?,0.45,Benzene,Benzene
Which compound is classified as an aromatic hydrocarbon?,0.45,Benzene,Benzene
Which compound is classified as an aromatic hydrocarbon?,0.45,Benzene,Benzene
Which compound is classified as an aromatic hydrocarbon?,0.45,Ethane,Benzene
Which compound is classified as an aromatic hydrocarbon?,0.45,Ethane,Benzene
Which compound is classified as an aromatic hydrocarbon?,0.45,Ethane,Benzene
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
Which compound is classified as an aromatic hydrocarbon?,0.45,Ethane,Benzene
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
Which compound is classified as an aromatic hydrocarbon?,0.45,Ethane,Benzene
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
Which compound is classified as an aromatic hydrocarbon?,0.45,Ethane,Benzene
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,3-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,3-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,3-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,3-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,3-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,3-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Elimination,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Elimination,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Elimination,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Elimination,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Elimination,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Elimination,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
Which type of reaction occurs when ethene reacts with bromine?,0.60,Elimination,Addition
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,Increases the activation energy of a reaction,2-chlorobutane
What is the major product of this reaction?,0.60,Increases the activation energy of a reaction,2-chlorobutane
Which type of reaction occurs when ethene reacts with bromine?,0.60,Elimination,Addition
What is the major product of this reaction?,0.60,"2,3-dichlorobutane",2-chlorobutane
Which compound is classified as an aromatic hydrocarbon?,0.45,Propane,Benzene
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
Which compound is classified as an aromatic hydrocarbon?,0.45,Benzene,Benzene
Which type of reaction occurs when ethene reacts with bromine?,0.60,Elimination,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Elimination,Addition
Which compound is classified as an aromatic hydrocarbon?,0.45,Ethane,Benzene
Which compound is classified as an aromatic hydrocarbon?,0.45,Ethane,Benzene
Which compound is classified as an aromatic hydrocarbon?,0.45,Methanol,Benzene
Which compound is classified as an aromatic hydrocarbon?,0.45,Methanol,Benzene
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
Which type of reaction occurs when ethene reacts with bromine?,0.60,Elimination,Addition
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
The Wittig reaction takes place between a carbonyl compound and a phosphorus ylide. Which of the following represents the dipolar contributor to such an ylide?,0.70,II only,III only
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the correct Lewis dot structure for carbon dioxide (CO₂)?,0.50,A,A
Which compound is classified as an aromatic hydrocarbon?,0.45,Benzene,Benzene
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
The Wittig reaction takes place between a carbonyl compound and a phosphorus ylide. Which of the following represents the dipolar contributor to such an ylide?,0.70,II only,III only
Which compound is classified as an aromatic hydrocarbon?,0.45,Benzene,Benzene
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the correct Lewis dot structure for carbon dioxide (CO₂)?,0.50,B,A
What is the molecular geometry around the carbon atom in methane (CH4)?,0.50,Linear,Tetrahedral
What is the correct Lewis dot structure for carbon dioxide (CO₂)?,0.50,B,A
The Wittig reaction takes place between a carbonyl compound and a phosphorus ylide. Which of the following represents the dipolar contributor to such an ylide?,0.70,II only,III only
Which of the following is the correct IUPAC name for CH3-CH2-CH2-CH3?,0.35,Methane,Butane
Which type of reaction occurs when ethene reacts with bromine?,0.60,Addition,Addition
What is the correct Lewis dot structure for carbon dioxide (CO₂)?,0.50,C,A
What is the correct Lewis dot structure for carbon dioxide (CO₂)?,0.50,B,A
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
What is the major product of this reaction?,0.60,2-chlorobutane,2-chlorobutane
Which type of reaction occurs when ethene reacts with bromine?,0.60,Substitution,Addition
What is the molecular geometry around the carbon atom in methane (CH4)?,0.50,Linear,Tetrahedral
"Which of the following is 3,3-diphenylpropanal?",0.50,C6H5CH2CH2COC6H5,C6H5CH2CH2COC6H5
The Wittig reaction takes place between a carbonyl compound and a phosphorus ylide. Which of the following represents the dipolar contributor to such an ylide?,0.70,II only,III only
What is the major product of this reaction?,0.60,3-chlorobutane,2-chlorobutane
